id,outcome,n_variants,n_parseable,coverage,consensus_probability,brier,parasd
0ebc517c2b923093d530d91187d38873cd5ae3b4e79b02f8c726ade19cc0fb71,0,5,5,1.0,0.02,0.0004,0.024494897427831782
0x240f4f76613f69c1b5072abf9904a445c009cc526c2d301f7181eb33eb3785e8,0,5,5,1.0,0.01022,0.0001044484,0.019893556745841104
0x4ef4a5e6c74f646ce7126c7283b1a679c76db679b3237c2c6eaac27249b13dfd,0,5,5,1.0,0.084,0.007056000000000001,0.08380930735902785
0x99108ebfee8726dd985c617e76bba8c9176f69407c9fb5f2242df830d42af129,0,5,5,1.0,0.27,0.0729,0.34871191548325386
0xa257136f50d15c4151d7fa6464cba6a6dfc5dfa325d9fb6e414f7b642ba84381,0,5,5,1.0,0.0108,0.00011664000000000001,0.0196
0xa8533ac7382ad55fde02964b221eeab55da2ffe538a5da2c3f84449695d3ba8c,0,5,5,1.0,0.01024,0.00010485760000000002,0.01988331964235349
0xb5f6d7f3158494f1c433c25237e61cd33eec00943a6cd95d67b1d0b06cb7ce2b,0,5,5,1.0,0.24,0.0576,0.38
0xbb0e4120b64af4ff962dae9fda5e73f3ea14c689dd22e4099adeafe69700e546,0,5,5,1.0,0.09,0.0081,0.04898979485566356
0xc4dba193fa3b80410da74fd559d7071cc8835bbd4651a75e1e9fb3c3d7bec780,0,5,5,1.0,0.01,0.0001,0.02
0xfb0c98ef42c5c48b5ecca31e555aa0565a31958261e2d6c7b4cb15bbd417cbba,1,5,5,1.0,0.266,0.538756,0.3040131576099956
3a0d9f56fdc0fcc8e90b84afb5f0e7ab02f2751e91cc44d17e67ae9187d17aea,0,5,5,1.0,0.00062,3.844e-07,0.00046647615158762403
4093ea3dcb75afc668a669812c21296be9ce9b93593413b060d51c61133ac505,0,5,5,1.0,0.0402,0.00161604,0.0196
50ff16043ba629140f82ada741c6f24245bb98b8eefd7d55aac10f750d2d43ad,1,5,5,1.0,0.0002,0.99960004,0.0004
5ff232a05617d574bfc6bad7c1a7122242e61e6418756e6aece8e60143ba635e,0,5,5,1.0,0.05,0.0025000000000000005,0.0
61c0fb3703e68cee2439afd5c2d71522bc6649a1fa154491f58981456fa8ab68,1,5,5,1.0,0.38839999999999997,0.37405456000000004,0.4750429875284972
6b1c68a507fa625722143674cac09c96d837fd8efb49e20bb9a3d5ee14d1cc99,0,5,5,1.0,0.05,0.0025000000000000005,0.0
80622d988880cea15ff86d0eae9dc576026cbdd12ab2a6fca8c18795c26e3b02,0,5,5,1.0,0.0,0.0,0.0
AAA10Y,0,5,5,1.0,0.29,0.0841,0.08
BAMLC0A0CM,0,5,5,1.0,0.31,0.0961,0.08
BAMLC0A2CAAEY,1,5,5,1.0,0.25,0.5625,0.0
BAMLHYH0A0HYM2TRIV,0,5,5,1.0,0.37,0.1369,0.040000000000000015
BIIB,0,5,5,1.0,0.31,0.0961,0.08
COO,1,5,5,1.0,0.29,0.5041,0.04898979485566355
Cg6Oy62I52,0,5,5,1.0,0.616,0.379456,0.14221111067704942
DBAA,1,5,5,1.0,0.33,0.4488999999999999,0.07483314773547883
DFII5,1,5,5,1.0,0.27,0.5328999999999999,0.09273618495495704
DGS7,0,5,5,1.0,0.3,0.09,0.1
DHI,1,5,5,1.0,0.33,0.4488999999999999,0.09797958971132713
DUK,0,5,5,1.0,0.33,0.10890000000000001,0.09797958971132713
EW,0,5,5,1.0,0.31,0.0961,0.08
EXPINF5YR,1,5,5,1.0,0.29,0.5041,0.08602325267042626
GVZCLS,1,5,5,1.0,0.36,0.4096,0.08
IP,1,5,5,1.0,0.31,0.4760999999999999,0.08
KMB,0,5,5,1.0,0.31,0.0961,0.08
MRK,1,5,5,1.0,0.33,0.4488999999999999,0.09797958971132713
NASDAQCOM,0,5,5,1.0,0.46,0.2116,0.019999999999999997
NFCICREDIT,0,5,5,1.0,0.39,0.1521,0.1854723699099141
NTAP,1,5,5,1.0,0.31,0.4760999999999999,0.08
O,0,5,5,1.0,0.31,0.0961,0.08
PANW,1,5,5,1.0,0.33,0.4488999999999999,0.09797958971132713
RRPONTSYAWARD,0,5,5,1.0,0.18,0.0324,0.06782329983125268
SLB,1,5,5,1.0,0.24,0.5776,0.142828568570857
SOFR180DAYAVG,0,5,5,1.0,0.32,0.1024,0.09797958971132713
SOFR90DAYAVG,0,5,5,1.0,0.32,0.1024,0.09797958971132713
STE,0,5,5,1.0,0.31,0.0961,0.08
T,1,5,5,1.0,0.33,0.4488999999999999,0.09797958971132713
TPR,1,5,5,1.0,0.27,0.5328999999999999,0.039999999999999994
a6b56a1a459b72ebfc6fcae606a89899f1f08a97f4ca1881dbe33f3485e2c1d1,0,5,5,1.0,0.0004,1.6e-07,0.0004898979485566357
aaadedc56af38da29e04e6086cdd03ebd3844f5c88aa7e2d20c5c5388f455141,0,5,5,1.0,0.02,0.0004,0.024494897427831782
cb3336ed4ee8ebe8364f97814f75d9777ef8dd30a8f775c29ac727372fcd14be,1,5,5,1.0,0.0,1.0,0.0
d2sZ8AIILQ,1,5,5,1.0,0.016,0.968256,0.017435595774162694
d3c5e3b681d6299c57923b312b8886ccfcff2e8a46d138eecdca45f41df8bed0,0,5,5,1.0,0.0402,0.00161604,0.0196
f048e63f2f8ab26d2eaadd1c152e5563dd6693f889cc91a4de78b96b2d563a16,0,5,5,1.0,0.0402,0.00161604,0.0196
f9106f3b9841f95439ebf55649231126b43964900268038b93902cc15a645134,0,5,5,1.0,0.32039999999999996,0.10265615999999998,0.37462546629934274
llC0sSgzg8,1,5,5,1.0,0.0006000000000000001,0.9988003599999999,0.0004898979485566357
meteofrance_TEMPERATURE_celsius.07110.D,0,5,5,1.0,0.48,0.2304,0.12884098726725127
meteofrance_TEMPERATURE_celsius.07117.D,0,5,5,1.0,0.45,0.2025,0.1
meteofrance_TEMPERATURE_celsius.07299.D,0,5,5,1.0,0.47000000000000003,0.22090000000000004,0.12884098726725127
meteofrance_TEMPERATURE_celsius.07558.D,0,5,5,1.0,0.48,0.2304,0.12884098726725127
meteofrance_TEMPERATURE_celsius.61980.D,0,5,5,1.0,0.48,0.2304,0.12884098726725127
