id,question,background,resolution_criteria,source,url,resolved_at,outcome,resolved_to,forecastbench_resolution_snapshot,forecastbench_question_set,freeze_datetime,market_info_open_datetime,market_info_close_datetime,market_info_resolution_criteria
d2sZ8AIILQ,Military conflict between the US and Venezuela in 2025?,"Minimum to count as military conflict: either a combined 10 people die as part of action by either military OR a confirmed airstrike on Venezuelan soil (doesn't have to be on military targets).

Update 2025-08-28 (PST) (AI summary of creator comment): - A US Navy action against a narco-boat causing 10+ fatalities counts only if it occurs in Venezuelan waters.

Update 2025-09-03 (PST) (AI summary of creator comment): - Ambiguous location won't count: If the location of an incident is unclear or disputed, it will not count toward YES. Location must be clearly established (e.g., USN interdictions must be clearly within Venezuelan waters).

Update 2025-09-03 (PST) (AI summary of creator comment): - Only internationally recognized Venezuelan waters will count; incidents in disputed or solely Venezuelan-claimed areas (e.g., Essequibo maritime claims) will not.

Update 2025-09-03 (PST) (AI summary of creator comment): - For the narco-boat scenario, incidents only count if clearly within internationally recognized Venezuelan waters (as previously stated).

If the US and Venezuelan navies exchange fire, location is irrelevant; the Venezuelan-waters restriction does not apply to this case.

Update 2025-10-25 (PST) (AI summary of creator comment): - If Venezuelan military takes action against US targets (e.g., sinking a cruise ship in US waters), this counts as YES regardless of location, consistent with the rule that military-vs-military conflict counts regardless of location.

Update 2025-10-25 (PST) (AI summary of creator comment): - A gunfight between smugglers and US Coast Guard (law enforcement) does not count as military conflict, even if 10+ people die. This is not considered an act of war.

Update 2025-10-29 (PST) (AI summary of creator comment): - The market will not resolve immediately at the end of 2025. The creator will wait a day or two before resolving, especially if an attack occurred near year-end and final casualty numbers are not yet known.

Military action that takes place in 2025 but is reported after December 31, 2025 can still count toward resolution.

Update 2025-10-30 (PST) (AI summary of creator comment): - Covert operations that remain unreported will not count. The deaths must be from a confirmed military operation or airstrike. Unconfirmed incidents (e.g., cartel members dying in 'workplace accidents' that might have been US operations) do not qualify.

The creator expects any qualifying military action to be reported quickly, especially given the current administration's communication style.",Resolves to the outcome of the question found at https://manifold.markets/AlexanderTheGreater/military-conflict-between-the-us-an.,manifold,https://manifold.markets/AlexanderTheGreater/military-conflict-between-the-us-an,2025-12-31,1,1.0,2025-12-07_resolution_set.json,2025-12-07-llm.json,2025-11-27T00:00:00+00:00,2025-08-28T00:20:46+00:00,2025-12-31T23:59:00+00:00,N/A
0xad5642932e897c551def57ddc3066bdea2cf0eb13fc40979c1043743fceb5c9c,Will OpenAI have the top AI model on December 31?,"This market will resolve to ""Yes"" if any model owned by OpenAI has the highest arena score based off the Chatbot Arena LLM Leaderboard (https://lmarena.ai/leaderboard/text) when the table under the ""Leaderboard"" tab is checked on December 31, 2025, 12:00 PM ET. Otherwise, this market will resolve to ""No"".

If two models are tied for the top arena score at this market's check time, resolution will be based on whichever company's name, as it is described in this market group, comes first in alphabetical order (e.g. if both were tied, ""Google"" would resolve to ""Yes"", and ""xAI"" would resolve to ""No"")

The resolution source for this market is the Chatbot Arena LLM Leaderboard found at https://lmarena.ai/. If this resolution source is unavailable at check time, this market will remain open until the leaderboard comes back online and resolve based on the first check after it becomes available. If it becomes permanently unavailable, this market will resolve based on another resolution source.",Resolves to the outcome of the question found at https://polymarket.com/market/will-openai-have-the-top-ai-model-on-december-31.,polymarket,https://polymarket.com/market/will-openai-have-the-top-ai-model-on-december-31,2025-12-31,0,0.0,2025-10-26_resolution_set.json,2025-10-26-llm.json,2025-10-16T00:00:00+00:00,2024-12-31,2025-12-31T12:00:00+00:00,N/A
0xa7e61311724e5882cf8906d0232ffefef68a0ab64716344d28d066febdda5c49,Will Alibaba have the top AI model on December 31?,"This market will resolve to ""Yes"" if any model owned by Alibaba has the highest arena score based off the Chatbot Arena LLM Leaderboard (https://lmarena.ai/leaderboard/text) when the table under the ""Leaderboard"" tab is checked on December 31, 2025, 12:00 PM ET. Otherwise, this market will resolve to ""No"".

If two models are tied for the top arena score at this market's check time, resolution will be based on whichever company's name, as it is described in this market group, comes first in alphabetical order (e.g. if both were tied, ""Google"" would resolve to ""Yes"", and ""xAI"" would resolve to ""No"")

The resolution source for this market is the Chatbot Arena LLM Leaderboard found at https://lmarena.ai/. If this resolution source is unavailable at check time, this market will remain open until the leaderboard comes back online and resolve based on the first check after it becomes available. If it becomes permanently unavailable, this market will resolve based on another resolution source.",Resolves to the outcome of the question found at https://polymarket.com/market/will-alibaba-have-the-top-ai-model-on-december-31.,polymarket,https://polymarket.com/market/will-alibaba-have-the-top-ai-model-on-december-31,2025-12-31,0,0.0,2025-12-07_resolution_set.json,2025-12-07-llm.json,2025-11-27T00:00:00+00:00,2024-12-31,2025-12-31T12:00:00+00:00,N/A
0xa6852cb4eaf23193e9dc073471131102017ba31ac9571f5ee8a12c4cc1800d7c,Will DeepSeek have the top AI model on December 31?,"This market will resolve to ""Yes"" if any model owned by DeepSeek has the highest arena score based off the Chatbot Arena LLM Leaderboard (https://lmarena.ai/leaderboard/text) when the table under the ""Leaderboard"" tab is checked on December 31, 2025, 12:00 PM ET. Otherwise, this market will resolve to ""No"".

If two models are tied for the top arena score at this market's check time, resolution will be based on whichever company's name, as it is described in this market group, comes first in alphabetical order (e.g. if both were tied, ""Google"" would resolve to ""Yes"", and ""xAI"" would resolve to ""No"")

The resolution source for this market is the Chatbot Arena LLM Leaderboard found at https://lmarena.ai/. If this resolution source is unavailable at check time, this market will remain open until the leaderboard comes back online and resolve based on the first check after it becomes available. If it becomes permanently unavailable, this market will resolve based on another resolution source.",Resolves to the outcome of the question found at https://polymarket.com/market/will-deepseek-have-the-top-ai-model-on-december-31.,polymarket,https://polymarket.com/market/will-deepseek-have-the-top-ai-model-on-december-31,2025-12-31,0,0.0,2025-10-26_resolution_set.json,2025-10-26-llm.json,2025-10-16T00:00:00+00:00,2024-12-31,2025-12-31T12:00:00+00:00,N/A
0x92d98653c47967f7516f20ebc4bc04bf21d59cce083431cdcc9b3eaa0ed2bea4,Will Anthropic have the second best AI model at the end of December 2025?,"This market will resolve according to the company that owns the model with the second-highest arena score based on the Chatbot Arena LLM Leaderboard (https://lmarena.ai/) when the table under the ""Leaderboard"" tab is checked on December 31, 2025, 12:00 PM ET.

Results from the ""Arena Score"" section on the Leaderboard tab of https://lmarena.ai/leaderboard/text with the style control off will be used to resolve this market.

If two models are tied for the second best arena score at this market's check time, resolution will be based on whichever company's name, as it is described in this market group, comes first in alphabetical order (e.g. if both were tied, ""Google"" would resolve to ""Yes"", and ""xAI"" would resolve to ""No"")

The resolution source for this market is the Chatbot Arena LLM Leaderboard found at https://lmarena.ai/. If this resolution source is unavailable at check time, this market will remain open until the leaderboard comes back online and resolve based on the first check after it becomes available. If it becomes permanently unavailable, this market will resolve based on another resolution source.",Resolves to the outcome of the question found at https://polymarket.com/market/will-anthropic-have-the-second-best-ai-model-at-the-end-of-december-2025.,polymarket,https://polymarket.com/market/will-anthropic-have-the-second-best-ai-model-at-the-end-of-december-2025,2025-12-31,0,0.0,2025-12-07_resolution_set.json,2025-12-07-llm.json,2025-11-27T00:00:00+00:00,2025-10-10,2025-12-31T00:00:00+00:00,N/A
0x8947925aa89cdf1e70d7755df73c099c1977d322fb64ac20a2d2ee9850c9f913,Will OpenAI have the second best AI model at the end of December 2025?,"This market will resolve according to the company that owns the model with the second-highest arena score based on the Chatbot Arena LLM Leaderboard (https://lmarena.ai/) when the table under the ""Leaderboard"" tab is checked on December 31, 2025, 12:00 PM ET.

Results from the ""Arena Score"" section on the Leaderboard tab of https://lmarena.ai/leaderboard/text with the style control off will be used to resolve this market.

If two models are tied for the second best arena score at this market's check time, resolution will be based on whichever company's name, as it is described in this market group, comes first in alphabetical order (e.g. if both were tied, ""Google"" would resolve to ""Yes"", and ""xAI"" would resolve to ""No"")

The resolution source for this market is the Chatbot Arena LLM Leaderboard found at https://lmarena.ai/. If this resolution source is unavailable at check time, this market will remain open until the leaderboard comes back online and resolve based on the first check after it becomes available. If it becomes permanently unavailable, this market will resolve based on another resolution source.",Resolves to the outcome of the question found at https://polymarket.com/market/will-openai-have-the-second-best-ai-model-at-the-end-of-december-2025.,polymarket,https://polymarket.com/market/will-openai-have-the-second-best-ai-model-at-the-end-of-december-2025,2025-12-31,0,0.0,2025-12-07_resolution_set.json,2025-12-07-llm.json,2025-11-27T00:00:00+00:00,2025-10-10,2025-12-31T00:00:00+00:00,N/A
0x7d98815be880769be11a63b4df815b9bdcbf6ae007a8caaba9a2909816a8d1c6,Will Google have the top AI model on December 31?,"This market will resolve to ""Yes"" if any model owned by Google has the highest arena score based off the Chatbot Arena LLM Leaderboard (https://lmarena.ai/leaderboard/text) when the table under the ""Leaderboard"" tab is checked on December 31, 2025, 12:00 PM ET. Otherwise, this market will resolve to ""No"".

If two models are tied for the top arena score at this market's check time, resolution will be based on whichever company's name, as it is described in this market group, comes first in alphabetical order (e.g. if both were tied, ""Google"" would resolve to ""Yes"", and ""xAI"" would resolve to ""No"")

The resolution source for this market is the Chatbot Arena LLM Leaderboard found at https://lmarena.ai/. If this resolution source is unavailable at check time, this market will remain open until the leaderboard comes back online and resolve based on the first check after it becomes available. If it becomes permanently unavailable, this market will resolve based on another resolution source.",Resolves to the outcome of the question found at https://polymarket.com/market/which-company-has-best-ai-model-end-of-2025.,polymarket,https://polymarket.com/market/which-company-has-best-ai-model-end-of-2025,2025-12-31,1,1.0,2025-12-07_resolution_set.json,2025-12-07-llm.json,2025-11-27T00:00:00+00:00,2024-12-31,2025-12-31T12:00:00+00:00,N/A
0x7a250aca74f2938d9fee6b975cc5a588de54c25a673e272e0884023bc1be7a61,Will Moonshot have the best AI model for math at the end of 2025?,"This market will resolve to the company which owns the model that has the highest “Mathematics Average” score on the LiveBench AI model leaderboard (https://livebench.ai/#/), on December 31, 2025, 12:00 PM ET. 

If two models are tied for the highest LiveBench Mathematics Average score at this market's check time, resolution will be based on whichever company's name, as it is described in this market group, comes first in alphabetical order.

The primary source of resolution for this market will be LiveBench’s AI leaderboard, specifically the “Mathematics Average” category, found at livebench.ai. If this resolution source is unavailable at check time, this market will remain open until the LiveBench AI leaderboard comes back online and will resolve based on the first check after it becomes available. If it becomes permanently unavailable, this market will resolve based on another resolution source.",Resolves to the outcome of the question found at https://polymarket.com/market/will-moonshot-have-the-best-ai-model-for-math-at-the-end-of-2025.,polymarket,https://polymarket.com/market/will-moonshot-have-the-best-ai-model-for-math-at-the-end-of-2025,2025-12-31,0,0.0,2025-12-07_resolution_set.json,2025-12-07-llm.json,2025-11-27T00:00:00+00:00,2025-11-11,2025-12-31T12:00:00+00:00,N/A
0x60279053b72e1e5299f66a6efd4f81663d0de5bedfc6bba41d6bbd0a9dbc9d1f,Will xAI have the top AI model on December 31?,"This market will resolve to ""Yes"" if any model owned by xAI has the highest arena score based off the Chatbot Arena LLM Leaderboard (https://lmarena.ai/leaderboard/text) when the table under the ""Leaderboard"" tab is checked on December 31, 2025, 12:00 PM ET. Otherwise, this market will resolve to ""No"".

If two models are tied for the top arena score at this market's check time, resolution will be based on whichever company's name, as it is described in this market group, comes first in alphabetical order (e.g. if both were tied, ""Google"" would resolve to ""Yes"", and ""xAI"" would resolve to ""No"")

The resolution source for this market is the Chatbot Arena LLM Leaderboard found at https://lmarena.ai/. If this resolution source is unavailable at check time, this market will remain open until the leaderboard comes back online and resolve based on the first check after it becomes available. If it becomes permanently unavailable, this market will resolve based on another resolution source.",Resolves to the outcome of the question found at https://polymarket.com/market/will-xai-have-the-top-ai-model-on-december-31.,polymarket,https://polymarket.com/market/will-xai-have-the-top-ai-model-on-december-31,2025-12-31,0,0.0,2025-12-07_resolution_set.json,2025-12-07-llm.json,2025-11-27T00:00:00+00:00,2024-12-31,2025-12-31T12:00:00+00:00,N/A
0x4928bece364d2def95c920459ab1fa54f449f99f33b0dbc93d6a84f80d9c9669,Will Moonshot have the top AI model on December 31?,"This market will resolve to ""Yes"" if any model owned by Company F has the highest arena score based off the Chatbot Arena LLM Leaderboard (https://lmarena.ai/) when the table under the ""Leaderboard"" tab is checked on December 31, 2025, 12:00 PM ET. Otherwise, this market will resolve to ""No"".

This market may be updated in the future to replace Company F with the name of another company.

If two models are tied for the top arena score at this market's check time, resolution will be based on whichever company's name, as it is described in this market group, comes first in alphabetical order (e.g. if both were tied, ""Google"" would resolve to ""Yes"", and ""xAI"" would resolve to ""No"")

The resolution source for this market is the Chatbot Arena LLM Leaderboard found at https://lmarena.ai/. If this resolution source is unavailable at check time, this market will remain open until the leaderboard comes back online and resolve based on the first check after it becomes available. If it becomes permanently unavailable, this market will resolve based on another resolution source.",Resolves to the outcome of the question found at https://polymarket.com/market/will-moonshot-have-the-top-ai-model-on-december-31.,polymarket,https://polymarket.com/market/will-moonshot-have-the-top-ai-model-on-december-31,2025-12-31,0,0.0,2025-10-26_resolution_set.json,2025-10-26-llm.json,2025-10-16T00:00:00+00:00,2024-12-31,2025-12-31T12:00:00+00:00,N/A
0x082c611e9d2e294e256c7e6bd40aba498eb6ca2c0d2dc9bf5b8fdce5b5e8af9b,Will Anthropic have the top AI model on December 31?,"This market will resolve to ""Yes"" if any model owned by Anthropic has the highest arena score based off the Chatbot Arena LLM Leaderboard (https://lmarena.ai/leaderboard/text) when the table under the ""Leaderboard"" tab is checked on December 31, 2025, 12:00 PM ET. Otherwise, this market will resolve to ""No"".

If two models are tied for the top arena score at this market's check time, resolution will be based on whichever company's name, as it is described in this market group, comes first in alphabetical order (e.g. if both were tied, ""Google"" would resolve to ""Yes"", and ""xAI"" would resolve to ""No"")

The resolution source for this market is the Chatbot Arena LLM Leaderboard found at https://lmarena.ai/. If this resolution source is unavailable at check time, this market will remain open until the leaderboard comes back online and resolve based on the first check after it becomes available. If it becomes permanently unavailable, this market will resolve based on another resolution source.",Resolves to the outcome of the question found at https://polymarket.com/market/will-anthropic-have-the-top-ai-model-on-december-31.,polymarket,https://polymarket.com/market/will-anthropic-have-the-top-ai-model-on-december-31,2025-12-31,0,0.0,2025-12-07_resolution_set.json,2025-12-07-llm.json,2025-11-27T00:00:00+00:00,2024-12-31,2025-12-31T12:00:00+00:00,N/A
0x0398ee767efc168f65bb148d7ac5874406ecf38b0585262c259c07b72a40b362,Will NVIDIA (NVDA) close at $210–215 in 2025?,"This market will resolve according to the official closing price for NVIDIA (NVDA) on the final trading day of 2025.

If the reported value falls exactly between two brackets, then this market will resolve to the higher range bracket.

If the final trading day is shortened (for example, due to a market-holiday schedule), the official closing price published for that shortened session will still be used for resolution. If no official closing price is published for that session (for example, due to a trading halt into the close, system issue, delisting, or other disruption), the market will use the last valid on-exchange trade price of the regular session as the effective closing price.

In the event of a stock split, reverse stock split, or similar corporate action affecting the listed company during the listed time frame, this market will resolve based on split-adjusted prices as displayed on Yahoo Finance.

The target price will be adjusted proportionally to reflect any stock splits. Resolution will be based on the historical price data as shown on Yahoo Finance after any adjustments have been applied.

The resolution source for this market is Yahoo Finance, specifically the NVIDIA (NVDA) ""Close"" prices available at https://finance.yahoo.com/quote/NVDA/history, published under ""Historical Prices.""",Resolves to the outcome of the question found at https://polymarket.com/market/will-nvidia-nvda-close-at-210215-in-2025.,polymarket,https://polymarket.com/market/will-nvidia-nvda-close-at-210215-in-2025,2025-12-31,0,0.0,2025-12-07_resolution_set.json,2025-12-07-llm.json,2025-11-27T00:00:00+00:00,2025-11-24,2025-12-31T00:00:00+00:00,N/A
hQQPLApOcA,Half-Life 3 confirmed by EOY?,"This market resolves YES if Valve themselves confirm half life 3 is in development before January 1st 2026.

Update 2025-11-11 (PST) (AI summary of creator comment): The market will resolve YES if Valve announces a game called ""Half-Life"" (even without a number like ""3"") that is widely regarded as a sequel to the events after Half-Life 2. The creator will use their judgment to determine if this criterion is met.

Update 2025-11-17 (PST) (AI summary of creator comment): A prequel or side story will not qualify for YES resolution. The game must be a meaningful continuation of the events following Half-Life 2 (not just a brief story segment like the ending of Half-Life: Alyx).",Resolves to the outcome of the question found at https://manifold.markets/Bandors/halflife-3-confirmed-by-eoy.,manifold,https://manifold.markets/Bandors/halflife-3-confirmed-by-eoy,2025-12-30,0,0.0,2025-12-07_resolution_set.json,2025-12-07-llm.json,2025-11-27T00:00:00+00:00,2025-05-27T06:20:24+00:00,2025-12-30T23:59:00+00:00,N/A
